おはよう。,おはよう。
どっこいしょ。,おじさん臭い。
今日は遅刻しなかったじゃん。,流石に毎日遅刻はしないって。
流石に毎日遅刻はしないって。,本当？
本当？,信用ないなぁ。
信用ないなぁ。,まあまあ。
宿題やってきた？,宿題なんてあったっけ？
宿題なんてあったっけ？,忘れたの？
忘れたの？,忘れてた。
宿題ちょっとだけ見せてくれない？,仕方ないなぁ。
仕方がないなぁ。,ありがとう。
ありがとう。,どういたしまして。
この授業退屈だよね。,その代わり楽に取れるし。
その代わり楽に取れるし。,単位は来る。それはそう。
単位は来る。それはそう。,問題は成績だよね。
問題は成績だよね。,わかる。
試験勉強している？,してない。
試験勉強してない。,だよね。
そっちは試験勉強しているの？,いや、まだ。
まあまだ時間あるし。,後で痛い目に遭いそう。
後で痛い目に遭いそう。,怖いこと言わないでよ。
そのペン新しく買ったの？,うん、安かったから。
うん、安かったから。,その割には良さそうだね。
そのペン良さそうだね。,使い勝手は良いかな。
使い勝手は良いかな。,何か気に入らいないところがあるの？
何か気に入らいないところがあるの？,普通過ぎるかな。
普通過ぎるかな。,そっかぁ。
先生来たよ。,本当だ。
それじゃあまた。,また。
