珍しい。,そうだね。
こんばんは。,こんばんは。
今日は冷えるね。,そうだね。
マフラー似合ってる。,ありがとう。
手袋も似合ってる。,ありがとう。
今日は何を買いに来たの？,雑誌を買いに来た。
雑誌を買いに来た。,そうなんだ。
君は何を買いに来たの？,お菓子と飲み物を。
この時間にお菓子食べて良いの？,多少はね。
どんな雑誌を買うの？,ファッション誌とか。
ファッション誌とか。,そうなんだ。
お菓子は何が好きなの？,チョコレートとか。
チョコレートとか。,そうなんだ。
肉まんも食べたい。,良いね。
太らないの？,大丈夫。
大丈夫。,ほんとに？
その雑誌買うんだ。,うん。
良い趣味しているね。,ありがとう。
明日は学校だね。,宿題あったっけ？
宿題あったっけ？,わかんない。
わかんない。,そっかぁ。
学校面倒だな。,何か嫌なことでもあるの？
何か嫌なことでもあるの？,そういうわけじゃないけど。
そういうわけじゃないけど。,なるほど。
いじめられてない？,大丈夫。
何か奢ろうか？,大丈夫。
送っていこうか？,大丈夫。
それじゃあまた明日。,また明日。
おやすみなさい。,おやすみなさい。
