腹減った。,俺も。
俺も。,だよな。
購買に買いに行くか。,俺もそうするか。
俺は弁当があるから。,良いな。
良いな。,羨ましいだろ。
弁当の中身はなんだ？,コロッケとかだな。
コロッケとかだな。,美味しそうだな。
美味しそうだな。,実際美味しい。
じゃあ俺達は行ってくるから。,いってらしゃい。
いってらしゃい。,いってきます。
今日の化学の実験凄く面白かったな。,確かに。
良い感じに爆発したよな。,派手だったな。
派手だったな。,わかる。
次の実験いつだっけ？,来週くらいじゃない？
来週くらいじゃない？,そうだっけ。
実験のレポート書いた？,まだだったわ。
後でレポート見せてくれない？,了解。
ただいま。,おかえり。
買いたい物買えたか？,勿論。
買いたい物買えたか？,俺は買えなかったわ。
俺は買えなかったわ。,ご愁傷さま。
何買ったんだ？,クリームパン買った。
クリームパン買った。,それは良いな。
飲み物は何を買ったんだ？,コーヒー買ったわ。
コーヒー買ったわ。,良いじゃん。
それじゃあ、いただきます。,いただきます。
いただきます。,いただきます。
おかず分けてくれよ。,交換なら良い。
交換なら良い。,けちくさいなぁ。
おっ、美味しい。,どうも。
これはどうだ？,おう、良いな。
おう、良いな。,それはどうも。
最近眠気が取れない。,睡眠が足りてないんじゃないのか。
睡眠が足りてないんじゃないのか。,そんなことはない。
そんなことはない。,本当か？
昨日何時に寝たんだ？,11時くらい。
11時くらいに寝た。,まあ普通の睡眠時間かな。
部活が厳しいとかか？,そうかもしれない。
練習きついのか。,結構な。
結構練習が厳しい。,それは大変だな。
それは大変だな。,気遣いどうも。
気遣いどうも。,どういたしまして。
午後の授業は何だっけ？,数学と国語。
勉強面倒くさいよな。,わかる。
大学どこに行くの。,自分のレベルに合わせるさ。
自分のレベルに合わせるさ。,そうか。
成績良いやつは言うことが違うな。,そんなに成績良くないし。
そんなに成績良くないし。,またまた。
ごちそうさま。,ごちそうさまでした。
次の時間小テストじゃん。,まじで？
テスト対策してないんだけど。,俺も。
カンニングさせてくれない？,やだ。
じゃあ試験何が出るか教えて。,知るか。
試験内容なんて知るか。,そんな。
試験勉強教えて？,普段勉強していないお前が悪い。
普段勉強していないお前が悪い。,厳しいこと言うなぁ。
授業始まるぞ。,まじかよ。
まじかよ。,まじだよ。
ほら席に戻れ。,そうだな。
じゃあまたな。,また。
