おっす。,どうも。
待った？,いや全然待ってないよ。
いや全然待ってないよ。,そうか、良かった。
何注文する？,取り敢えず飲み物かな？
取り敢えず飲み物かな？,なるほど。
何かおすすめある？,いや、特には。
みんな集まっているじゃん。,どうも。
今日暑くね？,わかる。
熱くて辛い。,よしよし。
よしよし。,ありがとう。
取り敢えず適当に注文しておいた。,ありがとう。
ありがとう。,どういたしまして。
俺アイス食べたい。,良いんじゃない？
良いんじゃない？,よし。
最近彼女とはどうなんだよ。,まあ、それなり。
まあ、それなり。,煮え切らないな。
煮え切らないな。,うるさいな。
お前は彼氏とどうなんだよ。,普通。
普通。,そうか。
遅れてごめん。,大丈夫。
喉乾いた。,はい、お水。
彼氏出来た？,出来るわけないじゃん。
出来るわけないじゃん。,なんで？
なんで彼氏出来ないの？,それは良い人がいないし。
それは良い人がいないし。,俺とかどうよ？
俺とかどうよ？,コメントは控えるね。
コメントは控えるね。,そんな。
夏休みどこ行く？,定番は海とかかな。
定番は海とかかな。,それな。
海行こう。,水着どうしようかな？
水着どうしようかな？,新しい水着買えば？
新しい水着買えば？,なるほど。
水着見たいなぁ。,目線が不純。
目線が不純。,そんなことはない。
アイス来たよ。,やった。
いただきます。,いただきます。
美味しい。,それは良かった。
冷たくて美味しい。,それは良かった。
サーフィンとかしたいな。,サーフィン出来るの？
サーフィン出来るの？,その場で覚える。
その場で覚える。,無理じゃない？
無理じゃない？,そんなことはない。
砂遊びでもするか。,砂のお城でも作るの？
砂のお城でも作るの？,そう。
浮き輪持って行ったほうが良い？,あると良いね。
ごちそうさま。,ごちそうさま。
じゃあ今日はお開きで。,はい。
じゃあ来週。,来週。
