今日ショッピングモールに行ったの。,どうだった？
今日デパートに行ったの。,どうだった？
買い物はどうだった？,楽しかった。
楽しかった。,それは良かった。
買い物楽しかった。,何を買ったの？
何を買ったの？,小物。
小物を買ったの？,気に入った？
洋服を買ったの？,気に入った？
気に入った？,うん。
本が割引されて売ってた。,それは凄い。
安かったから買っちゃった。,良いね。
あそこの店閉店するみたい。,それは残念だね。
次にあそこは何の店が入るんだろうね。,わからない。
レストランでご飯を食べたの。,美味しかった？
美味しかった？,美味しかった。
そのお店のパスタが凄い美味しかった。,それは良かった。
そこの店のご飯が美味しくなかった。,残念。
買いたいものがあったんだけど、お金が足りなかった。,それは残念だね。
お菓子を買った。,美味しそう。
菓子を買った。,美味しそう。
お土産あるよ。,ありがとう。
喫茶店のコーヒー美味しかった。,それは良かった。
ケーキも絶品だった。,美味しそう。
新作のゲーム機を買ったんだ。,それは良いね。
新作のゲームを買ったんだ。,それは良いね。
教科書買ったんだ。,勉強頑張ろうね。
勉強頑張ろうね。,はい。
文房具買ったんだ。,気に入った？
気に入った？,うん。
